Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Total shots_home,Total shots_away,Shots on target_home,Shots on target_away,Big Chances_home,Big Chances_away,Corner Kicks_home,Corner Kicks_away,Passes_home,Passes_away,Yellow Cards_home,Yellow Cards_away,xG on target (xGOT)_home,xG on target (xGOT)_away,Shots off target_home,Shots off target_away,Blocked Shots_home,Blocked Shots_away,Shots inside the Box_home,Shots inside the Box_away,Shots outside the Box_home,Shots outside the Box_away,Hit the Woodwork_home,Hit the Woodwork_away,Touches in opposition box_home,Touches in opposition box_away,Accurate through passes_home,Accurate through passes_away,Offsides_home,Offsides_away,Free Kicks_home,Free Kicks_away,Long passes_home,Long passes_away,Passes in final third_home,Passes in final third_away,Crosses_home,Crosses_away,Expected assists (xA)_home,Expected assists (xA)_away,Throw-ins_home,Throw-ins_away,Fouls_home,Fouls_away,Tackles_home,Tackles_away,Duels won_home,Duels won_away,Clearances_home,Clearances_away,Interceptions_home,Interceptions_away,Errors leading to shot_home,Errors leading to shot_away,Errors leading to goal_home,Errors leading to goal_away,Goalkeeper Saves_home,Goalkeeper Saves_away,xGOT faced_home,xGOT faced_away,Goals prevented_home,Goals prevented_away,Red Cards_home,Red Cards_away,Headed Goals_home,Headed Goals_away
0.91,1.64,47%,53%,11,15,4,4,3,2,3,7,81%,82%,4,4,,,6,4,1,7,9,10,2,5,2,0,32,30,,,4,0,15,10,,,71%,73%,31%,25%,,,20,14,10,15,29%,74%,,,24,23,3,7,,,,,2,3,,,,,,,,
3.23,0.80,37%,63%,14,10,9,5,6,1,4,6,78%,86%,1,3,,,4,3,1,2,11,6,3,4,1,1,29,30,,,1,0,13,8,,,73%,71%,40%,17%,,,13,10,8,13,59%,62%,,,37,11,6,5,,,,,5,2,,,,,,,2,0
0.70,0.25,51%,49%,9,4,3,1,0,0,3,0,83%,84%,0,1,,,6,2,0,1,8,1,1,3,0,0,22,8,,,2,2,9,7,,,74%,70%,33%,14%,,,16,19,7,9,56%,50%,,,9,21,6,8,,,,,0,3,,,,,,,,
0.79,1.39,45%,55%,14,14,4,4,0,3,4,3,82%,85%,2,3,,,6,6,4,4,9,9,5,5,0,0,26,39,,,2,4,16,13,,,74%,73%,24%,41%,,,17,16,13,16,56%,61%,,,22,24,9,13,,,,,3,3,,,,,,,0,1
1.09,1.68,47%,53%,16,13,5,6,1,2,4,7,71%,72%,2,2,,,7,6,4,1,8,7,8,6,1,1,22,33,,,1,0,11,8,,,56%,61%,18%,39%,,,14,22,8,11,87%,56%,,,35,44,1,1,,,,,4,4,,,,,,,0,1
1.10,1.50,60%,40%,15,12,6,3,2,1,6,4,84%,74%,1,5,,,5,2,4,7,8,6,7,6,2,0,22,15,,,5,2,16,6,,,77%,64%,20%,19%,,,26,12,6,16,44%,65%,,,17,30,8,12,,,,,1,5,,,,,,,1,0
2.70,1.61,57%,43%,15,10,6,4,6,2,2,3,86%,83%,3,2,,,6,3,3,3,9,7,6,3,1,0,25,24,,,5,2,8,6,,,69%,64%,40%,0%,,,20,28,6,8,69%,58%,,,15,11,5,4,,,,,3,3,,,,,,,,
1.78,0.89,50%,50%,17,18,11,4,4,1,3,9,81%,75%,2,3,,,3,9,3,5,11,11,5,7,0,1,33,34,,,2,2,12,9,,,83%,64%,12%,26%,,,10,20,9,12,64%,58%,,,38,25,9,5,,,,,4,6,,,,,,,1,0
0.75,0.87,69%,31%,16,4,1,2,0,1,9,1,87%,75%,4,4,,,11,2,4,0,9,2,7,1,0,0,33,7,,,2,1,11,8,,,75%,51%,17%,0%,,,22,16,8,11,48%,58%,,,19,56,5,11,,,,,1,1,,,,,,,,
1.90,0.43,71%,29%,16,3,6,3,3,2,3,4,90%,78%,0,2,,,7,0,3,0,10,2,6,1,1,0,43,7,,,0,1,11,10,,,86%,57%,21%,33%,,,18,11,10,11,59%,55%,,,7,34,3,13,,,,,2,2,,,,,,,1,1
